subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa02,eo,6.979,0.88336,0.989033333,0.8414,0.810166667,1.94290564,-0.12402246,-0.011027244,-0.172688108,-0.210515291
oa02,eo,7.976,0.74982,0.832666667,0.7991,0.7939,2.076437033,-0.287922101,-0.183121877,-0.224269185,-0.23079777
oa02,eo,8.973,0.7675,0.904,0.82974,0.819333333,2.194220068,-0.2646168,-0.100925919,-0.18664288,-0.199264278
oa02,eo,9.97,0.95388,1.1794,0.99734,0.877833333,2.299580584,-0.047217402,0.165005835,-0.002663544,-0.130298529
oa02,eo,10.967,0.77314,0.999133333,0.89112,0.861133333,2.394890764,-0.257295134,-0.000867042,-0.11527618,-0.149505928
oa02,eo,11.964,0.76958,1.0879,0.92128,0.8241,2.481902141,-0.261910367,0.084249232,-0.081991272,-0.193463397
oa02,eo,12.961,0.7367,1.083166667,0.83542,0.6681,2.561944848,-0.305574525,0.07988885,-0.179820687,-0.403317416
oa02,eo,13.958,0.74728,1.082066667,0.7993,0.6358,2.636052821,-0.291315331,0.078872793,-0.224018934,-0.452871231
oa02,eo,14.955,0.65618,1.0028,0.71192,0.601066667,2.705045692,-0.421320137,0.002796087,-0.339789733,-0.509049424
oa02,eo,15.952,0.75516,1.2259,0.79202,0.533366667,2.769584213,-0.280825632,0.203675268,-0.233168635,-0.628546161
oa02,eo,16.949,0.66068,1.162733333,0.72588,0.5314,2.830208835,-0.414485671,0.150773555,-0.320370567,-0.632240246
oa02,eo,17.946,0.63122,1.124066667,0.74922,0.561333333,2.887367249,-0.460100824,0.116953062,-0.288722614,-0.577440373
oa02,eo,18.943,0.60374,0.982933333,0.64138,0.490033333,2.94143447,-0.504611637,-0.017213981,-0.444133174,-0.713281863
oa02,eo,19.94,0.5706,0.8554,0.5594,0.443266667,2.992727765,-0.56106684,-0.156186083,-0.580890498,-0.813583734
oa02,eo,20.937,0.5913,0.721366667,0.43678,0.387,3.041517929,-0.525431776,-0.326607718,-0.828325643,-0.949330586
oa02,eo,21.934,0.55364,0.667666667,0.3741,0.343933333,3.088037944,-0.591240623,-0.403966232,-0.983232138,-1.067307439
oa02,eo,22.931,0.53074,0.623533333,0.33524,0.327466667,3.132489707,-0.63348302,-0.472353054,-1.092908586,-1.11636901
oa02,eo,23.928,0.48038,0.586533333,0.28936,0.285633333,3.175049321,-0.733177822,-0.533525778,-1.240083691,-1.253046342
oa02,eo,24.925,0.47644,0.666866667,0.27788,0.275066667,3.215871316,-0.741413482,-0.405165153,-1.280565913,-1.290741786
oa02,eo,25.922,0.42254,0.6697,0.26638,0.272466667,3.255092029,-0.861471162,-0.400925428,-1.322831418,-1.300238997
oa02,eo,26.919,0.3913,0.638166667,0.24822,0.245966667,3.292832357,-0.93828075,-0.449155797,-1.393439829,-1.402559254
oa02,eo,27.916,0.33666,0.5568,0.23472,0.2365,3.329200001,-1.08868176,-0.58554917,-1.449361965,-1.441807071
oa02,eo,28.913,0.32644,0.579133333,0.21276,0.2227,3.364291321,-1.119509114,-0.546222546,-1.547590509,-1.501929705
oa02,eo,29.91,0.31678,0.572433333,0.19238,0.181666667,3.398192873,-1.149547752,-0.557858999,-1.648282696,-1.705581773
oa03,ec,0.997,42.70052,26.0404,23.0956,229.6591333,-0.003004509,3.754211098,3.259649178,3.139642123,5.436596181
oa03,ec,1.994,5.9821,4.970533333,5.08214,29.82883333,0.690142672,1.788771677,1.603527145,1.625732433,3.395475487
oa03,ec,2.991,2.13032,2.195,2.23676,8.1518,1.09560778,0.756272203,0.786182047,0.80502839,2.098238762
oa03,ec,3.988,1.36092,1.513633333,1.49106,4.5922,1.383289852,0.308160942,0.414512942,0.399487276,1.524359212
oa03,ec,4.985,1.24416,1.412533333,1.48606,3.720966667,1.606433403,0.218460603,0.345384783,0.396128322,1.313983491
oa03,ec,5.982,0.91822,0.989633333,1.16174,2.660066667,1.78875496,-0.085318266,-0.010420775,0.149918881,0.978351185
oa03,ec,6.979,1.0326,1.211433333,1.14806,1.912233333,1.94290564,0.032079893,0.191804232,0.138073561,0.648271843
oa03,ec,7.976,1.85584,2.6555,2.67844,2.8256,2.076437033,0.618337424,0.976632961,0.985234535,1.038720731
oa03,ec,8.973,3.4319,4.954466667,5.69478,4.2169,2.194220068,1.233114044,1.600289527,1.739549966,1.439100261
oa03,ec,9.97,2.73224,4.619466667,6.42732,4.0254,2.299580584,1.005121786,1.530279258,1.860557655,1.392624285
oa03,ec,10.967,1.57084,2.859566667,4.45064,2.830833333,2.394890764,0.451610508,1.050670098,1.493047906,1.040571132
oa03,ec,11.964,1.07552,1.551966667,1.96854,1.727166667,2.481902141,0.072804266,0.439522944,0.677292151,0.546482301
oa03,ec,12.961,0.87394,1.105266667,1.4188,1.371866667,2.561944848,-0.134743556,0.100086633,0.349811444,0.316172343
oa03,ec,13.958,0.7699,0.888033333,1.13484,1.170633333,2.636052821,-0.261494643,-0.118745999,0.126491672,0.157544913
oa03,ec,14.955,0.80696,0.887066667,1.12682,1.0292,2.705045692,-0.214481178,-0.11983514,0.119399506,0.028781801
oa03,ec,15.952,0.95194,0.990566667,1.15364,0.985366667,2.769584213,-0.049253271,-0.009478109,0.142922161,-0.014741457
oa03,ec,16.949,1.01804,1.192866667,1.25752,0.990866667,2.830208835,0.01787921,0.176359374,0.229141527,-0.009175298
oa03,ec,17.946,1.08484,1.160333333,1.34802,1.044666667,2.887367249,0.081432511,0.14870732,0.298636849,0.043697855
oa03,ec,18.943,1.18124,1.071733333,1.30038,0.965066667,2.94143447,0.166564734,0.069277275,0.262656529,-0.035558095
oa03,ec,19.94,1.29428,1.062066667,1.18628,0.961033333,2.992727765,0.257954556,0.060216695,0.17082236,-0.039746185
oa03,ec,20.937,1.2083,0.862566667,1.0361,0.739366667,3.041517929,0.189214413,-0.147842838,0.035463664,-0.301961315
oa03,ec,21.934,1.2506,0.708566667,0.85464,0.726833333,3.088037944,0.223623436,-0.344511129,-0.157074951,-0.31905808
oa03,ec,22.931,1.26094,0.581933333,0.74338,0.6772,3.132489707,0.231857475,-0.541399385,-0.296547925,-0.389788629
oa03,ec,23.928,1.1705,0.554933333,0.67526,0.644133333,3.175049321,0.157431008,-0.588907293,-0.392657477,-0.439849535
oa03,ec,24.925,1.14532,0.530833333,0.62084,0.562833333,3.215871316,0.135684074,-0.63330718,-0.476681879,-0.574771728
oa03,ec,25.922,1.04984,0.408433333,0.57176,0.525066667,3.255092029,0.048637772,-0.895426577,-0.559035956,-0.64423004
oa03,ec,26.919,1.0338,0.3526,0.5481,0.4499,3.292832357,0.033241334,-1.042421009,-0.601297527,-0.798729943
